Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36212815,ATT-ANR-Portal-O-BrowseEquipmentCatalog,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=equipmentCatalog,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR/.module=equipmentCatalog(.*),ATT-ANR-Portal-O-BrowseEquipmentCatalog,yes,no,no
36212816,ATT-ANR-Portal-O-Cancel,http://wiwauk4coldfw02.itservices.sbc.com:83/inventory_admin/invdetailCancel.cfm?bc=invCancel&action=cancel&cuid=$cng_cuid&whereami=Inventory,(.*)(wiwauk4cold|ebizweb.stage)(.*)/inventory_admin/invdetailCancel.cfm(.*),ATT-ANR-Portal-O-Cancel,yes,no,no
36212817,ATT-ANR-Portal-O-Cancel_Reactivate,http://wiwauk4coldfw02.itservices.sbc.com:83/cancelReac_index.cfm?whereami=cancelSuspend,(.*)(wiwauk4cold|ebizweb.stage)(.*)/cancelReac_index.cfm(.*),ATT-ANR-Portal-O-Cancel_Reactivate,yes,no,no
36212818,ATT-ANR-Portal-O-ChangeDeviceandFeatures,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=replaceDeviceSim&whereami=replaceDevice,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR/(.*)replaceDeviceSim(.*)replaceDevice(.*),ATT-ANR-Portal-O-ChangeDeviceandFeatures,yes,no,no
36212819,ATT-ANR-Portal-O-ChangePassword,http://wiwauk4coldfw02.itservices.sbc.com:83/change_password.cfm?action=myCOU.cfm&cuid=$cng_cuid&whereami=myCou&bc=myChgPwd,(.*)(wiwauk4cold|ebizweb.stage)(.*)/change_password.cfm(.*),ATT-ANR-Portal-O-ChangePassword,yes,no,no
36212820,ATT-ANR-Portal-O-ChangePhoneNumber,http://wiwauk4coldfw02.itservices.sbc.com:83/chgPhone_index.cfm?whereami=changePhoneTab&bc=changePhoneTab,(.*)(wiwauk4cold|ebizweb.stage)(.*)/chgPhone_index.cfm(.*),ATT-ANR-Portal-O-ChangePhoneNumber,yes,no,no
36212821,ATT-ANR-Portal-O-ChangeServicePlan,http://wiwauk4coldfw02.itservices.sbc.com:83/featureChgPlan.cfm?bc=miscChgPlan,(.*)(wiwauk4cold|ebizweb.stage)(.*)/featureChgPlan.cfm(.*),ATT-ANR-Portal-O-ChangeServicePlan,yes,no,no
36212822,ATT-ANR-Portal-O-ConvertfromConsumer,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=convToCustMenu&whereami=activations,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR(.*)convToCustMenu(.*),ATT-ANR-Portal-O-ConvertfromConsumer,yes,no,no
36212823,ATT-ANR-Portal-O-ConverttoConsumer,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=convToConsumer&whereami=activations,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR(.*)convToConsumer(.*),ATT-ANR-Portal-O-ConverttoConsumer,yes,no,no
36212824,ATT-ANR-Portal-O-CORReports,http://wiwauk4coldfw02.itservices.sbc.com:83/reports/corEquipmentReport.cfm?bc=corReport,(.*)(wiwauk4cold|ebizweb.stage)(.*)/reports/corEquipmentReport.cfm(.*),ATT-ANR-Portal-O-CORReports,yes,no,no
